群,デバイス,滞在秒数,ページ閲覧数,購入,購入額
A（現行）,PC,68,4,1,6770
A（現行）,スマホ,30,3,0,0
A（現行）,スマホ,5,3,0,0
A（現行）,スマホ,22,3,0,0
A（現行）,スマホ,51,3,0,0
A（現行）,PC,88,4,0,0
A（現行）,タブレット,36,3,0,0
A（現行）,PC,55,5,0,0
A（現行）,PC,63,4,0,0
A（現行）,スマホ,70,4,0,0
A（現行）,スマホ,49,3,0,0
A（現行）,スマホ,56,5,0,0
A（現行）,スマホ,61,4,0,0
A（現行）,スマホ,33,4,0,0
A（現行）,PC,58,4,0,0
A（現行）,スマホ,21,4,0,0
A（現行）,スマホ,32,1,0,0
A（現行）,PC,60,5,0,0
A（現行）,スマホ,35,4,0,0
A（現行）,PC,29,4,0,0
A（現行）,スマホ,83,5,0,0
A（現行）,PC,60,3,0,0
A（現行）,タブレット,39,4,0,0
A（現行）,PC,72,7,0,0
A（現行）,スマホ,36,3,0,0
A（現行）,スマホ,6,1,0,0
A（現行）,スマホ,57,6,0,0
A（現行）,タブレット,52,4,0,0
A（現行）,スマホ,27,2,0,0
A（現行）,スマホ,47,5,1,5630
A（現行）,PC,58,3,0,0
A（現行）,スマホ,27,1,0,0
A（現行）,PC,21,2,0,0
A（現行）,スマホ,12,3,0,0
A（現行）,PC,83,6,0,0
A（現行）,PC,69,4,0,0
A（現行）,スマホ,48,5,0,0
A（現行）,スマホ,21,4,0,0
A（現行）,スマホ,27,3,0,0
A（現行）,スマホ,5,2,0,0
A（現行）,PC,108,5,0,0
A（現行）,タブレット,50,4,0,0
A（現行）,スマホ,45,6,0,0
A（現行）,スマホ,13,3,0,0
A（現行）,スマホ,36,4,0,0
A（現行）,PC,72,6,0,0
A（現行）,スマホ,17,3,0,0
A（現行）,スマホ,73,7,1,11750
A（現行）,スマホ,30,3,0,0
A（現行）,タブレット,26,2,0,0
A（現行）,タブレット,40,3,0,0
A（現行）,タブレット,5,1,0,0
A（現行）,タブレット,38,5,1,5210
A（現行）,スマホ,48,3,0,0
A（現行）,スマホ,43,4,0,0
A（現行）,スマホ,36,3,0,0
A（現行）,タブレット,47,3,0,0
A（現行）,PC,57,6,0,0
A（現行）,PC,84,7,0,0
A（現行）,スマホ,41,4,0,0
A（現行）,スマホ,65,5,0,0
A（現行）,PC,64,4,0,0
A（現行）,PC,24,3,0,0
A（現行）,PC,29,3,0,0
A（現行）,スマホ,5,1,0,0
A（現行）,スマホ,57,6,1,3650
A（現行）,スマホ,49,2,0,0
A（現行）,スマホ,33,3,0,0
A（現行）,スマホ,84,5,0,0
A（現行）,PC,9,1,0,0
A（現行）,PC,8,1,0,0
A（現行）,スマホ,44,4,0,0
A（現行）,スマホ,60,7,0,0
A（現行）,スマホ,7,5,0,0
A（現行）,スマホ,5,2,0,0
