プラン,月額料金,契約月数,直近30日ログイン日数,月間視聴時間,サポート問合せ回数,値上げ経験,解約
ライト,790,5,21,43.0,2,1,0
スタンダード,990,10,15,30.3,1,1,0
ライト,790,12,3,3.8,1,1,1
スタンダード,1480,17,15,27.3,1,1,0
プレミアム,1980,7,3,13.6,0,0,1
ライト,790,4,4,12.2,0,1,1
ライト,790,13,13,23.9,1,0,1
ライト,490,19,4,7.3,1,0,0
スタンダード,990,25,15,17.4,2,0,0
スタンダード,1480,28,19,25.3,0,0,0
スタンダード,990,3,4,13.2,0,1,1
ライト,490,5,22,36.4,1,0,0
プレミアム,1980,8,16,39.3,1,0,0
ライト,790,31,7,14.8,2,0,1
スタンダード,990,7,9,12.8,0,0,0
ライト,490,12,20,50.5,2,0,0
ライト,790,29,13,30.1,0,0,0
スタンダード,990,2,11,33.9,1,0,0
スタンダード,1480,12,22,0.6,1,1,0
ライト,790,14,15,30.2,0,0,0
プレミアム,1980,21,19,27.4,0,0,0
プレミアム,1980,6,16,38.8,0,0,0
スタンダード,1480,2,3,3.6,1,1,1
スタンダード,990,1,6,8.2,3,1,1
ライト,790,6,5,11.9,0,1,0
ライト,490,24,3,9.1,6,0,1
プレミアム,1980,30,3,1.2,1,0,0
スタンダード,990,23,16,42.1,0,0,0
ライト,490,21,8,18.8,0,0,0
ライト,490,14,12,25.0,2,1,0
ライト,790,6,7,5.2,0,0,1
スタンダード,1480,23,9,17.6,0,1,0
スタンダード,990,2,21,38.2,0,0,0
スタンダード,990,9,13,25.2,1,1,0
ライト,790,20,6,15.0,0,0,0
スタンダード,1480,19,5,7.2,1,0,1
ライト,790,14,19,33.3,2,1,0
スタンダード,990,14,20,21.1,3,0,0
ライト,790,4,7,9.3,1,0,1
ライト,490,17,10,32.9,1,0,1
スタンダード,1480,25,0,0.0,2,1,0
ライト,490,18,14,37.2,0,0,0
プレミアム,1980,28,22,45.3,1,1,0
スタンダード,1480,9,17,9.7,1,1,0
ライト,490,7,7,18.6,1,1,0
ライト,490,16,16,2.8,0,1,0
プレミアム,1980,13,15,24.6,0,0,0
プレミアム,1980,15,0,6.3,3,1,1
スタンダード,1480,32,4,14.1,2,0,1
スタンダード,990,4,24,43.9,0,0,0
ライト,490,11,8,22.5,1,0,0
プレミアム,1980,12,22,22.2,1,1,0
ライト,790,3,16,13.2,1,1,1
プレミアム,1980,13,9,27.3,0,1,0
スタンダード,990,2,11,29.7,1,1,1
スタンダード,990,22,30,12.4,2,0,0
スタンダード,990,3,24,81.0,3,0,0
プレミアム,1980,28,14,12.2,1,1,0
ライト,490,5,8,18.3,1,1,0
スタンダード,990,7,17,43.3,1,1,0
スタンダード,1480,15,7,21.1,1,0,1
スタンダード,990,8,18,33.5,1,0,0
ライト,790,13,13,32.0,1,0,0
スタンダード,990,3,18,37.6,1,0,0
スタンダード,1480,6,14,17.1,0,1,1
ライト,490,14,16,49.4,1,1,0
ライト,490,8,7,22.7,1,1,0
スタンダード,990,35,25,42.0,2,0,0
スタンダード,1480,19,10,22.0,0,0,0
ライト,790,13,11,12.6,1,0,0
プレミアム,1980,13,9,4.3,1,1,1
ライト,790,21,11,22.8,0,0,0
スタンダード,1480,13,14,23.3,0,1,0
ライト,490,17,0,4.0,1,0,1
プレミアム,1980,5,29,31.9,1,1,0
スタンダード,990,37,26,71.1,0,1,0
プレミアム,1980,17,20,47.6,1,1,0
ライト,490,3,21,43.2,1,0,0
ライト,790,13,0,5.0,1,0,1
ライト,790,7,26,73.3,0,0,0
プレミアム,1980,2,16,30.8,0,0,0
スタンダード,1480,22,5,15.4,0,0,0
スタンダード,990,18,23,34.6,1,1,0
プレミアム,1980,15,16,32.4,2,0,1
プレミアム,1980,17,0,3.2,0,1,1
スタンダード,1480,16,10,23.1,1,1,1
プレミアム,1980,21,23,63.3,0,1,0
スタンダード,1480,3,12,24.6,3,1,1
プレミアム,1980,6,14,42.1,2,0,0
ライト,790,12,20,46.9,3,1,0
ライト,490,16,20,31.6,3,0,0
プレミアム,1980,3,8,5.2,1,0,1
スタンダード,1480,13,17,25.4,1,0,0
スタンダード,1480,8,1,7.6,2,1,1
プレミアム,1980,5,10,4.2,0,1,1
スタンダード,1480,6,0,1.5,1,0,1
スタンダード,990,8,9,20.9,0,0,0
ライト,790,10,8,26.5,2,1,0
ライト,490,4,21,4.5,2,0,0
スタンダード,1480,17,11,25.4,1,0,0
スタンダード,990,2,9,12.4,1,0,0
ライト,790,2,3,11.8,3,1,1
ライト,790,11,17,39.9,1,0,0
ライト,790,4,16,7.9,3,0,0
プレミアム,1980,8,16,27.0,1,0,0
ライト,790,12,4,10.6,1,0,1
ライト,790,12,18,41.7,0,0,0
ライト,490,6,6,11.8,1,0,1
スタンダード,1480,11,8,4.2,0,0,0
ライト,490,14,13,35.0,2,0,0
ライト,790,9,16,20.4,1,0,0
プレミアム,1980,15,22,40.0,1,1,0
プレミアム,1980,7,7,12.2,2,1,1
ライト,790,13,17,25.5,0,0,0
スタンダード,990,3,0,0.8,2,0,1
ライト,490,9,10,17.8,3,0,0
ライト,490,11,13,39.5,1,0,0
ライト,790,23,13,21.1,1,0,0
ライト,490,27,11,26.6,2,1,0
プレミアム,1980,7,13,10.3,1,1,1
スタンダード,990,7,8,23.9,1,0,0
ライト,790,9,21,49.6,1,1,1
ライト,790,7,15,39.1,2,0,1
プレミアム,1980,22,14,15.1,0,0,1
ライト,490,6,15,14.2,1,0,0
プレミアム,1980,3,22,72.4,2,0,0
プレミアム,1980,28,10,19.0,1,0,0
ライト,790,6,0,0.8,2,0,1
スタンダード,990,1,7,8.0,1,1,1
ライト,790,2,26,37.8,2,1,0
ライト,790,20,18,19.0,0,0,0
ライト,490,21,19,37.3,1,1,0
ライト,490,3,23,22.6,0,0,0
スタンダード,990,2,12,7.4,0,1,0
スタンダード,990,8,7,18.9,0,0,1
プレミアム,1980,3,18,18.1,1,0,0
ライト,490,29,20,28.1,1,1,0
スタンダード,1480,7,16,25.6,1,1,1
ライト,790,9,14,34.1,1,1,0
スタンダード,1480,18,7,7.5,1,1,0
プレミアム,1980,12,10,15.0,1,0,1
スタンダード,990,12,15,37.4,1,0,0
スタンダード,990,8,18,54.8,1,0,0
スタンダード,990,23,15,32.1,0,0,0
スタンダード,990,20,14,21.2,2,0,0
ライト,490,9,8,23.8,2,0,0
スタンダード,990,4,16,15.9,2,0,0
ライト,490,17,15,24.2,0,0,0
スタンダード,1480,3,0,0.0,0,1,1
プレミアム,1980,11,28,50.3,0,0,0
ライト,790,6,25,43.5,0,1,0
プレミアム,1980,7,18,15.6,2,0,0
スタンダード,990,2,13,21.2,3,1,1
スタンダード,990,11,17,34.1,2,0,0
スタンダード,1480,9,15,28.9,0,1,1
ライト,490,19,3,6.8,1,0,1
スタンダード,1480,16,9,23.7,0,0,0
ライト,790,15,22,39.2,1,1,0
スタンダード,990,3,6,9.6,2,1,0
プレミアム,1980,14,9,15.7,2,0,1
プレミアム,1980,18,6,8.9,2,0,1
スタンダード,1480,21,21,11.4,1,0,0
スタンダード,990,24,10,15.7,1,0,0
ライト,790,16,19,40.3,0,0,0
スタンダード,990,21,0,1.5,0,1,1
プレミアム,1980,11,0,3.1,1,1,1
スタンダード,1480,9,23,24.8,2,0,0
ライト,790,14,6,10.4,0,0,0
プレミアム,1980,5,7,9.5,2,1,1
スタンダード,990,9,9,8.4,2,0,0
スタンダード,990,12,7,8.4,1,1,0
スタンダード,990,11,20,36.7,1,0,0
スタンダード,990,6,6,12.8,0,0,0
ライト,790,5,27,43.1,1,0,0
スタンダード,990,18,17,30.5,2,0,0
スタンダード,990,18,16,34.3,0,0,0
スタンダード,990,2,9,13.0,1,0,1
スタンダード,1480,5,10,26.5,1,0,1
ライト,490,27,0,2.1,1,0,1
スタンダード,1480,10,6,5.1,1,0,0
ライト,790,22,13,7.1,2,0,0
ライト,790,14,22,39.9,0,0,0
スタンダード,1480,18,25,24.9,2,0,0
ライト,790,5,10,13.5,1,0,0
スタンダード,990,29,18,47.5,1,0,0
ライト,790,2,11,10.8,1,0,0
ライト,490,3,1,6.1,1,0,1
プレミアム,1980,4,12,13.0,2,0,1
プレミアム,1980,17,20,43.2,0,0,0
ライト,790,9,8,19.4,0,0,0
ライト,790,7,19,50.3,1,1,0
プレミアム,1980,8,7,1.0,0,1,0
プレミアム,1980,24,17,33.4,2,0,1
プレミアム,1980,8,10,28.4,2,0,1
ライト,490,14,5,9.6,1,0,1
スタンダード,990,8,6,13.3,0,1,0
スタンダード,990,23,17,35.3,0,0,0
スタンダード,1480,19,9,26.9,2,0,0
ライト,490,19,17,36.6,2,1,1
プレミアム,1980,9,23,38.7,1,0,0
スタンダード,990,11,7,20.9,0,0,0
スタンダード,990,21,19,27.4,0,1,0
スタンダード,990,30,19,32.6,2,0,0
ライト,490,4,19,42.9,0,1,0
ライト,490,7,11,15.9,1,1,0
プレミアム,1980,9,17,35.9,1,0,0
スタンダード,1480,27,12,4.5,1,0,0
スタンダード,1480,6,17,27.3,0,1,0
プレミアム,1980,34,18,62.3,1,0,0
ライト,490,7,13,14.1,1,1,0
ライト,790,13,15,29.5,1,1,0
スタンダード,1480,4,10,20.2,0,0,0
ライト,490,4,5,11.2,1,0,1
プレミアム,1980,19,15,39.2,0,0,0
プレミアム,1980,25,12,18.4,2,0,0
スタンダード,990,12,12,13.1,0,0,0
スタンダード,1480,17,5,15.1,2,0,0
ライト,490,13,5,4.1,1,1,0
ライト,790,1,19,6.0,2,0,0
ライト,790,12,10,18.4,2,1,1
ライト,490,5,23,14.5,1,0,0
スタンダード,990,2,7,14.4,1,0,1
スタンダード,1480,6,25,20.8,3,0,0
ライト,490,5,11,35.6,2,0,0
プレミアム,1980,5,5,10.7,1,1,1
ライト,490,3,19,28.2,1,1,1
スタンダード,1480,9,29,55.2,0,0,0
ライト,490,2,13,18.4,1,0,0
スタンダード,1480,15,3,9.4,1,1,0
ライト,790,13,30,54.6,1,0,0
スタンダード,990,12,8,20.3,2,0,0
スタンダード,990,31,30,51.3,5,0,0
スタンダード,1480,2,30,41.4,0,0,0
スタンダード,1480,7,19,51.0,0,1,0
ライト,790,12,8,6.3,1,1,1
ライト,790,43,13,24.3,2,0,0
スタンダード,990,18,5,8.6,1,0,0
プレミアム,1980,33,14,33.8,1,0,0
スタンダード,990,8,9,30.5,0,0,0
スタンダード,1480,25,0,2.3,1,0,1
ライト,490,11,6,20.8,0,0,0
ライト,790,6,7,26.6,1,0,0
スタンダード,1480,2,24,72.5,0,1,0
プレミアム,1980,10,27,19.2,0,0,0
プレミアム,1980,8,13,20.9,0,1,0
ライト,490,12,17,45.2,2,0,0
ライト,490,13,19,6.9,0,0,0
スタンダード,1480,7,22,22.0,1,0,0
ライト,490,10,0,0.0,2,0,1
ライト,790,2,11,16.3,2,0,0
ライト,490,22,2,7.6,0,0,1
プレミアム,1980,16,0,1.6,1,0,1
ライト,790,3,13,26.0,0,1,1
スタンダード,990,2,25,37.3,0,1,0
スタンダード,1480,5,17,17.2,1,0,0
スタンダード,990,27,10,14.2,1,0,0
ライト,490,7,0,0.5,2,0,0
スタンダード,990,12,14,0.0,1,0,0
ライト,790,14,4,10.6,2,0,0
プレミアム,1980,9,4,3.3,1,1,1
ライト,490,12,8,22.8,3,0,0
ライト,790,7,9,24.9,2,0,0
プレミアム,1980,3,10,27.6,0,0,1
スタンダード,990,27,21,39.0,0,0,0
スタンダード,1480,18,27,66.8,2,1,0
スタンダード,990,3,14,32.5,0,0,0
スタンダード,1480,6,9,15.3,0,0,1
スタンダード,990,3,0,0.0,0,0,1
ライト,790,2,21,27.3,0,0,0
スタンダード,1480,15,23,47.3,1,0,0
スタンダード,1480,11,18,36.3,1,1,0
ライト,790,6,18,37.1,0,1,0
ライト,490,14,6,12.6,1,0,0
ライト,790,12,19,53.5,2,0,0
プレミアム,1980,15,16,27.0,1,0,0
ライト,490,3,20,18.5,1,1,0
プレミアム,1980,21,23,55.7,2,1,0
ライト,790,9,22,57.2,1,1,1
プレミアム,1980,4,19,26.4,3,0,0
ライト,790,6,29,45.6,0,0,0
ライト,790,1,8,11.8,0,0,1
スタンダード,990,21,10,19.8,0,0,0
プレミアム,1980,5,6,13.1,1,0,0
スタンダード,990,9,10,12.8,1,0,0
スタンダード,1480,5,14,26.9,0,1,0
ライト,490,10,27,62.6,2,0,0
ライト,790,12,10,19.8,0,1,0
プレミアム,1980,11,11,16.9,1,0,0
プレミアム,1980,28,21,28.1,1,0,0
ライト,790,5,16,36.8,2,0,0
スタンダード,990,22,6,7.3,1,0,0
スタンダード,990,15,10,33.3,1,0,0
ライト,790,17,4,16.1,2,0,1
スタンダード,990,27,6,1.7,1,0,0
ライト,790,17,29,49.4,1,1,0
スタンダード,990,35,18,35.9,1,0,0
スタンダード,1480,10,14,15.4,1,1,0
スタンダード,1480,17,4,10.0,2,1,1
スタンダード,990,37,6,5.2,1,0,0
ライト,790,8,5,16.0,1,1,0
プレミアム,1980,15,20,49.3,3,1,0
スタンダード,1480,7,10,19.3,0,0,0
スタンダード,990,19,10,16.6,2,0,1
ライト,790,24,0,4.3,1,1,1
プレミアム,1980,14,11,24.7,3,1,1
ライト,490,21,12,32.0,1,1,1
スタンダード,990,9,17,22.5,3,1,0
プレミアム,1980,29,28,60.8,1,0,0
ライト,490,5,1,0.5,1,0,1
プレミアム,1980,3,20,22.7,2,1,0
ライト,490,3,7,13.3,2,0,0
プレミアム,1980,14,1,2.7,1,0,1
プレミアム,1980,6,2,0.0,0,0,0
プレミアム,1980,14,12,32.8,1,0,0
ライト,790,7,6,6.0,0,0,0
プレミアム,1980,4,22,55.6,1,1,1
ライト,490,13,14,14.8,2,1,1
ライト,490,24,23,57.4,1,1,0
ライト,490,12,1,9.1,1,1,0
ライト,790,17,13,7.9,2,0,1
プレミアム,1980,4,12,28.2,0,1,0
プレミアム,1980,29,13,37.5,0,0,0
スタンダード,1480,6,0,3.4,2,0,1
スタンダード,1480,8,15,30.0,2,0,0
スタンダード,990,15,0,0.0,1,1,0
ライト,790,10,4,4.1,1,1,1
スタンダード,990,14,16,24.5,1,0,0
ライト,490,27,15,36.1,2,0,0
ライト,790,9,5,14.9,1,0,0
スタンダード,990,14,1,4.1,3,0,1
ライト,790,12,13,4.5,2,0,0
ライト,490,7,26,28.8,1,0,0
スタンダード,1480,23,3,9.8,1,0,0
ライト,790,20,16,28.4,1,0,0
スタンダード,1480,16,14,19.3,2,0,0
ライト,790,5,11,28.9,1,0,1
ライト,790,3,3,10.3,2,0,1
スタンダード,1480,8,0,7.3,0,1,1
プレミアム,1980,11,2,6.3,2,1,1
ライト,790,14,22,22.5,2,0,0
スタンダード,1480,5,9,15.2,3,1,1
プレミアム,1980,11,0,0.4,1,0,0
スタンダード,1480,9,5,0.0,1,1,1
ライト,490,16,28,68.0,0,1,0
ライト,790,9,20,29.9,1,0,0
プレミアム,1980,47,0,3.0,1,1,1
スタンダード,990,2,14,10.5,1,1,1
ライト,490,39,19,17.4,1,0,0
スタンダード,990,21,13,29.9,1,0,1
スタンダード,990,16,2,3.8,2,1,0
ライト,790,12,16,30.4,0,0,0
ライト,790,10,20,29.4,2,0,0
ライト,490,15,4,9.9,1,1,1
ライト,790,4,4,8.0,1,1,1
スタンダード,990,19,3,4.4,3,0,1
ライト,490,11,24,30.2,1,0,0
スタンダード,1480,3,4,10.9,2,1,0
ライト,790,4,23,71.8,1,0,0
スタンダード,990,10,18,40.1,3,0,0
ライト,790,14,15,20.7,1,0,0
プレミアム,1980,14,9,32.0,1,1,0
ライト,490,11,21,29.0,1,1,0
プレミアム,1980,12,7,12.2,2,1,1
スタンダード,990,6,7,15.9,1,1,1
スタンダード,1480,14,14,19.8,0,0,0
プレミアム,1980,26,12,15.0,3,0,0
ライト,490,8,23,32.6,1,0,0
ライト,490,20,14,35.4,1,0,1
ライト,490,15,17,16.7,1,0,0
ライト,790,14,9,20.3,1,0,0
ライト,490,7,19,50.9,1,0,0
スタンダード,990,6,24,51.5,1,0,0
ライト,490,16,25,52.9,2,1,0
ライト,790,2,5,15.0,1,0,0
ライト,790,1,10,21.2,1,1,0
ライト,490,13,4,0.0,0,0,0
プレミアム,1980,11,17,32.3,1,0,0
スタンダード,1480,24,14,23.1,1,0,0
スタンダード,990,17,6,3.8,0,0,1
スタンダード,990,24,18,12.9,1,1,0
スタンダード,1480,1,25,48.1,0,0,0
スタンダード,990,4,6,8.1,1,0,1
スタンダード,1480,40,8,11.5,0,0,0
スタンダード,990,8,6,15.6,2,1,1
スタンダード,990,14,11,18.8,1,1,0
ライト,790,2,11,22.8,1,1,1
ライト,790,9,23,21.0,1,0,0
スタンダード,990,5,14,15.3,3,0,0
スタンダード,1480,9,3,1.2,2,1,0
ライト,790,25,25,51.5,2,0,0
ライト,490,8,16,40.1,0,1,0
ライト,490,10,22,29.6,1,0,0
プレミアム,1980,8,14,16.0,1,0,0
ライト,790,2,2,2.0,3,0,1
スタンダード,990,4,17,19.7,0,0,0
プレミアム,1980,4,24,21.1,1,1,0
プレミアム,1980,8,15,26.6,2,1,0
プレミアム,1980,2,1,0.0,1,0,0
ライト,790,10,2,4.8,1,0,1
プレミアム,1980,17,15,23.9,0,0,0
ライト,490,13,18,61.9,1,1,0
プレミアム,1980,15,14,19.4,0,0,0
ライト,490,15,25,63.1,3,1,0
ライト,490,4,20,8.6,0,0,0
ライト,790,3,1,4.5,1,0,1
スタンダード,1480,7,0,0.0,2,0,0
スタンダード,990,10,13,24.9,2,1,0
ライト,790,8,1,2.3,1,0,1
プレミアム,1980,2,0,6.1,1,0,0
ライト,490,24,23,25.2,1,0,0
ライト,490,14,16,31.0,0,0,0
ライト,490,20,8,11.3,1,0,0
ライト,490,26,15,18.7,0,0,0
プレミアム,1980,2,19,45.5,0,1,0
スタンダード,990,6,9,7.8,1,1,1
プレミアム,1980,27,14,35.5,0,0,0
プレミアム,1980,22,7,15.5,1,0,1
スタンダード,990,18,5,18.0,1,1,0
スタンダード,990,23,10,17.8,1,0,1
プレミアム,1980,25,6,5.7,1,1,1
スタンダード,990,36,8,9.5,0,0,0
ライト,490,12,18,28.1,0,1,0
プレミアム,1980,14,19,17.1,2,1,1
プレミアム,1980,11,5,13.5,1,0,0
ライト,790,7,3,0.0,2,0,1
