エリア,専有面積,築年数,駅徒歩分,所在階,駅乗降客数,成約価格
都心3区,46.0,1,3,3,32.8,9350
近郊（多摩・県境）,57.0,29,5,5,1.8,1540
都心3区,56.3,2,3,11,18.1,12010
近郊（多摩・県境）,37.4,11,3,5,2.9,1790
城東・城北,93.8,2,4,7,3.0,5430
近郊（多摩・県境）,75.3,33,3,2,4.5,2110
城南・城西,28.5,4,6,4,11.0,3170
城東・城北,66.2,24,12,6,5.2,2100
城東・城北,55.0,36,4,9,6.8,2420
近郊（多摩・県境）,57.2,1,1,4,7.6,4560
城東・城北,36.5,42,6,6,11.2,1780
都心3区,37.3,4,2,6,31.7,8090
城東・城北,46.4,5,4,9,4.4,3320
城東・城北,49.9,3,6,8,7.9,3970
城南・城西,52.8,14,4,5,11.8,4030
近郊（多摩・県境）,68.8,15,2,2,2.2,2360
近郊（多摩・県境）,57.2,10,4,1,4.4,2190
都心3区,59.7,27,3,5,21.0,7010
近郊（多摩・県境）,54.2,34,5,10,7.6,1930
都心3区,47.9,5,4,7,16.3,7740
城東・城北,82.3,12,7,10,12.5,4540
近郊（多摩・県境）,47.5,4,3,7,8.0,3590
城東・城北,49.8,14,5,4,8.5,3390
城東・城北,62.9,27,12,4,3.2,1790
城東・城北,79.6,3,6,5,4.6,5380
近郊（多摩・県境）,50.9,28,7,9,2.8,1290
近郊（多摩・県境）,38.4,8,3,5,4.7,1860
城東・城北,65.2,34,2,2,13.8,3590
近郊（多摩・県境）,72.1,34,10,12,1.6,1410
城南・城西,34.5,20,2,11,7.8,2990
都心3区,70.0,25,8,7,34.3,6600
城東・城北,56.1,3,11,3,10.0,3240
都心3区,52.8,26,1,4,33.6,7220
近郊（多摩・県境）,40.6,11,4,6,4.4,1560
城東・城北,68.9,39,3,1,2.6,2240
近郊（多摩・県境）,50.9,10,4,5,1.5,1820
城東・城北,40.1,9,2,14,10.7,3690
城東・城北,39.3,26,3,3,13.2,2280
近郊（多摩・県境）,49.7,7,7,4,2.0,1850
都心3区,68.0,4,1,2,22.8,11180
城南・城西,44.7,0,2,11,11.3,5840
都心3区,53.7,35,5,1,26.7,6450
城東・城北,57.5,10,2,3,6.5,3740
都心3区,65.5,29,9,1,34.1,4790
近郊（多摩・県境）,68.4,13,11,4,7.7,2130
城南・城西,65.9,12,8,3,19.1,4890
城南・城西,52.0,4,1,1,17.5,8240
城南・城西,70.2,11,3,4,5.8,5040
城東・城北,74.1,30,3,2,6.5,3490
城南・城西,59.0,23,8,1,11.4,3870
城東・城北,61.3,31,3,5,7.9,3120
城東・城北,66.5,4,2,4,7.0,5650
城南・城西,58.7,23,2,10,14.7,5690
都心3区,61.4,30,2,5,31.4,8260
都心3区,47.9,16,2,4,32.1,7490
近郊（多摩・県境）,43.4,24,4,3,2.8,1410
城東・城北,39.2,21,7,8,2.8,1690
城東・城北,39.5,1,2,3,6.6,3650
城東・城北,72.7,13,3,3,11.9,5190
近郊（多摩・県境）,43.4,8,9,7,5.2,1580
近郊（多摩・県境）,61.0,29,8,2,2.8,1340
都心3区,63.0,18,5,11,21.3,8330
城東・城北,27.6,17,1,2,5.0,1790
城東・城北,27.0,20,2,4,6.5,1910
近郊（多摩・県境）,31.0,8,3,1,3.9,1230
城南・城西,71.2,29,7,4,17.0,4270
近郊（多摩・県境）,52.2,8,4,11,1.6,2130
城南・城西,30.6,0,7,1,6.6,2960
都心3区,47.5,1,3,4,23.0,9580
城東・城北,48.8,6,7,3,10.2,3100
都心3区,69.2,37,2,4,14.6,5800
近郊（多摩・県境）,64.7,6,8,4,6.7,3020
城南・城西,65.2,14,15,2,5.4,2490
城東・城北,50.4,1,6,1,8.7,3850
城南・城西,41.7,6,12,9,14.0,3090
都心3区,30.5,9,1,3,25.0,5960
城東・城北,33.0,39,2,1,6.3,1640
城南・城西,43.1,0,1,7,18.5,8130
近郊（多摩・県境）,37.2,19,5,4,2.6,1170
都心3区,67.4,18,7,5,17.8,5720
城南・城西,78.4,11,1,2,12.7,7700
城南・城西,22.0,4,3,7,15.7,4000
城東・城北,46.8,44,2,5,13.2,2380
都心3区,85.0,11,2,3,24.6,11470
城東・城北,35.2,35,1,7,12.3,2720
城南・城西,35.6,25,4,6,20.6,3300
城南・城西,46.9,28,12,5,13.6,2370
近郊（多摩・県境）,43.1,11,4,9,7.1,2350
城南・城西,54.6,11,3,11,21.7,7130
城南・城西,50.9,18,9,7,19.4,3370
城東・城北,28.2,2,2,5,11.7,2920
城東・城北,89.1,8,12,8,10.0,5100
近郊（多摩・県境）,73.7,11,5,6,4.7,2450
都心3区,77.0,29,3,2,12.8,5970
城東・城北,71.3,27,9,5,12.4,2960
近郊（多摩・県境）,40.5,9,1,7,7.5,2290
城東・城北,65.8,38,6,1,13.7,3150
城東・城北,44.7,2,8,3,11.2,3130
城東・城北,69.9,28,10,2,10.6,2940
城南・城西,34.2,13,9,9,20.7,3180
近郊（多摩・県境）,50.0,4,2,5,5.3,3370
城東・城北,69.2,0,10,7,13.7,4640
都心3区,72.1,9,1,11,19.2,11800
城東・城北,55.1,1,12,3,9.0,3720
近郊（多摩・県境）,55.5,9,8,11,0.9,1420
城東・城北,83.9,4,11,1,12.2,5110
