年月,平均気温,電気使用量kWh,電気料金円,在宅日数
2019-01,6.7,484,14020,8
2019-02,5.3,517,14960,11
2019-03,10.4,352,10610,6
2019-04,14.9,269,8430,15
2019-05,18.2,286,8920,11
2019-06,24.1,277,8690,15
2019-07,25.3,278,8760,13
2019-08,28.4,392,11910,13
2019-09,22.5,251,8070,11
2019-10,18.1,246,7980,10
2019-11,12.5,316,9950,9
2019-12,6.6,489,14790,8
2020-01,5.9,510,15420,5
2020-02,4.7,552,16640,10
2020-03,11.4,342,10800,9
2020-04,16.0,268,8780,10
2020-05,20.7,270,8860,15
2020-06,23.9,269,8860,9
2020-07,28.5,394,12450,4
2020-08,23.5,246,8250,16
2020-09,24.9,257,8610,6
2020-10,18.0,265,8860,10
2020-11,10.9,325,10650,5
2020-12,8.2,397,12760,13
2021-01,4.1,572,17920,12
2021-02,5.3,524,16610,12
2021-03,9.1,409,13270,11
2021-04,12.7,323,10770,9
2021-05,20.8,236,8230,6
2021-06,24.6,291,9890,7
2021-07,27.8,365,12120,14
2021-08,26.8,330,11120,7
2021-09,21.2,278,9590,11
2021-10,19.2,228,8100,11
2021-11,12.5,308,10570,14
2021-12,4.1,562,18360,11
2022-01,6.4,449,14950,11
2022-02,6.9,427,14320,8
2022-03,9.3,387,13160,12
2022-04,14.4,258,9180,7
2022-05,19.5,243,8750,12
2022-06,27.2,307,10770,7
2022-07,27.6,361,12510,12
2022-08,26.9,322,11340,7
2022-09,24.6,245,8930,11
2022-10,18.7,257,9350,10
2022-11,10.3,379,13240,14
2022-12,7.7,460,15860,12
2023-01,5.7,490,16890,8
2023-02,6.5,478,16550,12
2023-03,9.5,381,13490,8
2023-04,16.4,242,9030,7
2023-05,19.9,237,8910,9
2023-06,23.9,237,8940,5
2023-07,25.3,274,10160,13
2023-08,23.5,239,9050,11
2023-09,23.0,221,8470,12
2023-10,18.1,256,9650,11
2023-11,11.8,326,12020,13
2023-12,6.6,468,16780,5
2024-01,6.9,466,16760,11
2024-02,6.1,463,16700,13
2024-03,9.7,359,13290,9
2024-04,14.6,277,10530,13
2024-05,20.6,250,9650,10
2024-06,24.9,275,10550,7
2024-07,27.1,289,11060,12
2024-08,24.6,223,8840,11
2024-09,23.2,231,9140,9
2024-10,18.0,246,9680,7
2024-11,11.1,338,12870,16
2024-12,7.3,471,17520,8
2025-01,6.5,453,16950,12
2025-02,5.8,485,18130,12
2025-03,10.5,346,13320,9
2025-04,15.7,226,9150,9
2025-05,23.3,225,9120,14
2025-06,24.7,241,9720,13
2025-07,27.1,304,11990,19
2025-08,26.6,279,11140,15
2025-09,21.4,234,9560,10
2025-10,18.1,213,8820,10
2025-11,10.0,329,13010,14
2025-12,8.7,399,15580,11
