日付,始値,高値,安値,終値,出来高,日経平均,ドル円
2023-01-04,2479.7,2520.9,2467.1,2520.3,3488642,33494,149.43
2023-01-05,2525.8,2559.2,2494.2,2551.6,2635959,33667,149.83
2023-01-06,2534.8,2654.9,2533.9,2646.8,4976734,34418,150.22
2023-01-09,2653.1,2666.7,2545.3,2550.8,7314291,33792,151.07
2023-01-10,2548.0,2579.7,2544.5,2572.7,2135636,33914,151.35
2023-01-11,2568.6,2570.1,2512.9,2529.4,4555298,33699,151.60
2023-01-12,2532.1,2536.6,2522.7,2535.8,1411901,33707,152.94
2023-01-13,2535.2,2579.4,2526.5,2572.8,2836872,34201,154.01
2023-01-16,2566.6,2639.1,2557.5,2614.9,3506974,34518,153.69
2023-01-17,2618.7,2628.7,2607.6,2624.8,1690698,34351,154.43
2023-01-18,2605.6,2627.1,2589.0,2623.7,1005529,34434,154.71
2023-01-19,2638.9,2647.4,2632.3,2643.8,1676719,34598,154.36
2023-01-20,2662.2,2668.1,2639.0,2649.1,1239915,34879,154.36
2023-01-23,2640.5,2647.1,2601.4,2614.3,2503899,34588,155.11
2023-01-24,2611.1,2663.7,2599.1,2658.6,4345331,35031,154.97
2023-01-25,2647.1,2647.5,2614.6,2621.0,2929535,35195,155.31
2023-01-26,2621.1,2621.5,2606.5,2618.6,1053363,35235,154.47
2023-01-27,2602.4,2632.8,2576.2,2578.2,4225079,34985,153.17
2023-01-30,2580.3,2583.1,2536.2,2556.4,2181065,35038,153.20
2023-01-31,2542.1,2545.8,2522.1,2525.1,2350037,34797,154.05
2023-02-01,2516.7,2538.4,2508.8,2533.8,1270174,34633,153.23
2023-02-02,2525.8,2552.8,2503.1,2552.0,1990362,34822,154.32
2023-02-03,2557.2,2591.6,2548.6,2589.4,3081740,34991,156.08
2023-02-06,2596.1,2612.4,2582.9,2606.2,2526919,34835,155.48
2023-02-07,2591.1,2635.5,2590.5,2618.8,1417226,34673,155.04
2023-02-08,2615.5,2674.8,2600.7,2670.9,4619222,35047,155.58
2023-02-09,2668.8,2698.9,2663.4,2675.2,1281868,34946,154.79
2023-02-10,2696.3,2715.5,2672.4,2714.4,3953622,35700,152.91
2023-02-13,2716.4,2751.4,2714.0,2750.9,3857735,35905,153.05
2023-02-14,2757.9,2781.7,2753.8,2769.5,1677728,36029,153.41
2023-02-15,2765.3,2801.9,2757.1,2782.6,1588954,36051,153.28
2023-02-16,2782.1,2796.2,2752.3,2756.3,2039082,36104,152.98
2023-02-17,2759.1,2777.3,2715.6,2734.7,2751925,35528,152.72
2023-02-20,2749.2,2753.9,2739.9,2748.2,1717053,35688,152.32
2023-02-21,2731.2,2818.9,2715.7,2809.6,3021358,36264,151.26
2023-02-22,2801.6,2803.3,2766.7,2771.9,2574946,35987,150.63
2023-02-23,2767.0,2793.7,2754.3,2792.0,2321768,36210,149.91
2023-02-24,2789.7,2838.4,2787.5,2829.7,3810619,35936,148.87
2023-02-27,2824.6,2840.2,2766.3,2767.2,3699053,35575,149.39
2023-02-28,2757.7,2791.5,2749.3,2785.0,1605678,35973,149.29
2023-03-01,2784.6,2795.4,2755.3,2776.8,1214329,35711,149.45
2023-03-02,2787.5,2823.1,2773.5,2804.6,2015905,35848,148.37
2023-03-03,2797.0,2833.2,2771.2,2825.4,2532834,35540,149.81
2023-03-06,2818.8,2919.4,2788.7,2914.9,6320074,35483,148.59
2023-03-07,2917.6,2943.4,2913.7,2938.3,2528987,35607,146.15
2023-03-08,2944.9,3032.3,2920.2,3031.3,4752152,36157,146.44
2023-03-09,3033.7,3101.7,3024.8,3088.0,4850851,36603,146.80
2023-03-10,3079.5,3139.1,3069.3,3114.0,2068622,36756,147.18
2023-03-13,3120.3,3134.3,3048.0,3048.5,4236459,36133,147.44
2023-03-14,3049.2,3057.8,3013.3,3020.3,3003966,36002,149.16
2023-03-15,3005.3,3006.3,2960.8,2973.8,3705694,35654,148.41
2023-03-16,2980.9,2998.9,2960.4,2962.6,1438863,35811,148.55
2023-03-17,2971.7,2986.6,2971.3,2986.0,1969166,36014,148.85
